chromNum	chromStart	chromEnd	bandname	gieStain
chr01	0	2300000	p36.33	gneg
chr01	2300000	5300000	p36.32	gpos25
chr01	5300000	7100000	p36.31	gneg
chr01	7100000	9200000	p36.23	gpos25
chr01	9200000	12600000	p36.22	gneg
chr01	12600000	16100000	p36.21	gpos50
chr01	16100000	20300000	p36.13	gneg
chr01	20300000	23800000	p36.12	gpos25
chr01	23800000	27800000	p36.11	gneg
chr01	27800000	30000000	p35.3	gpos25
chr01	30000000	32200000	p35.2	gneg
chr01	32200000	34400000	p35.1	gpos25
chr01	34400000	39600000	p34.3	gneg
chr01	39600000	43900000	p34.2	gpos25
chr01	43900000	46500000	p34.1	gneg
chr01	46500000	51300000	p33	gpos75
chr01	51300000	56200000	p32.3	gneg
chr01	56200000	58700000	p32.2	gpos50
chr01	58700000	60900000	p32.1	gneg
chr01	60900000	68700000	p31.3	gpos50
chr01	68700000	69500000	p31.2	gneg
chr01	69500000	84700000	p31.1	gpos100
chr01	84700000	88100000	p22.3	gneg
chr01	88100000	92000000	p22.2	gpos75
chr01	92000000	94500000	p22.1	gneg
chr01	94500000	99400000	p21.3	gpos75
chr01	99400000	102000000	p21.2	gneg
chr01	102000000	107000000	p21.1	gpos100
chr01	107000000	111600000	p13.3	gneg
chr01	111600000	115900000	p13.2	gpos50
chr01	115900000	117600000	p13.1	gneg
chr01	117600000	120700000	p12	gpos50
chr01	120700000	121100000	p11.2	gneg
chr01	121100000	124300000	p11.1	acen
chr01	124300000	128000000	q11	acen
chr01	128000000	142400000	q12	gvar
chr01	142400000	148000000	q21.1	gneg
chr01	148000000	149600000	q21.2	gpos50
chr01	149600000	153300000	q21.3	gneg
chr01	153300000	154800000	q22	gpos50
chr01	154800000	157300000	q23.1	gneg
chr01	157300000	158800000	q23.2	gpos50
chr01	158800000	163800000	q23.3	gneg
chr01	163800000	165500000	q24.1	gpos50
chr01	165500000	169100000	q24.2	gneg
chr01	169100000	171200000	q24.3	gpos75
chr01	171200000	174300000	q25.1	gneg
chr01	174300000	178600000	q25.2	gpos50
chr01	178600000	184000000	q25.3	gneg
chr01	184000000	189000000	q31.1	gpos100
chr01	189000000	192100000	q31.2	gneg
chr01	192100000	197500000	q31.3	gpos100
chr01	197500000	205300000	q32.1	gneg
chr01	205300000	209500000	q32.2	gpos25
chr01	209500000	212100000	q32.3	gneg
chr01	212100000	222100000	q41	gpos100
chr01	222100000	222700000	q42.11	gneg
chr01	222700000	225100000	q42.12	gpos25
chr01	225100000	228800000	q42.13	gneg
chr01	228800000	232700000	q42.2	gpos50
chr01	232700000	234600000	q42.3	gneg
chr01	234600000	241700000	q43	gpos75
chr01	241700000	247249719	q44	gneg
chr02	0	4300000	p25.3	gneg
chr02	4300000	7000000	p25.2	gpos50
chr02	7000000	12800000	p25.1	gneg
chr02	12800000	17000000	p24.3	gpos75
chr02	17000000	19100000	p24.2	gneg
chr02	19100000	23900000	p24.1	gpos75
chr02	23900000	27700000	p23.3	gneg
chr02	27700000	29800000	p23.2	gpos25
chr02	29800000	31900000	p23.1	gneg
chr02	31900000	36400000	p22.3	gpos75
chr02	36400000	38400000	p22.2	gneg
chr02	38400000	41600000	p22.1	gpos50
chr02	41600000	47600000	p21	gneg
chr02	47600000	52700000	p16.3	gpos100
chr02	52700000	54800000	p16.2	gneg
chr02	54800000	61100000	p16.1	gpos100
chr02	61100000	64000000	p15	gneg
chr02	64000000	70500000	p14	gpos50
chr02	70500000	72600000	p13.3	gneg
chr02	72600000	73900000	p13.2	gpos50
chr02	73900000	75400000	p13.1	gneg
chr02	75400000	83700000	p12	gpos100
chr02	83700000	91000000	p11.2	gneg
chr02	91000000	93300000	p11.1	acen
chr02	93300000	95700000	q11.1	acen
chr02	95700000	102100000	q11.2	gneg
chr02	102100000	105300000	q12.1	gpos50
chr02	105300000	106700000	q12.2	gneg
chr02	106700000	108600000	q12.3	gpos25
chr02	108600000	113800000	q13	gneg
chr02	113800000	118600000	q14.1	gpos50
chr02	118600000	122100000	q14.2	gneg
chr02	122100000	129600000	q14.3	gpos50
chr02	129600000	132200000	q21.1	gneg
chr02	132200000	134800000	q21.2	gpos25
chr02	134800000	136600000	q21.3	gneg
chr02	136600000	142400000	q22.1	gpos100
chr02	142400000	144700000	q22.2	gneg
chr02	144700000	148400000	q22.3	gpos100
chr02	148400000	149600000	q23.1	gneg
chr02	149600000	150300000	q23.2	gpos25
chr02	150300000	154600000	q23.3	gneg
chr02	154600000	159600000	q24.1	gpos75
chr02	159600000	163500000	q24.2	gneg
chr02	163500000	169500000	q24.3	gpos75
chr02	169500000	177700000	q31.1	gneg
chr02	177700000	180400000	q31.2	gpos50
chr02	180400000	182700000	q31.3	gneg
chr02	182700000	189100000	q32.1	gpos75
chr02	189100000	191600000	q32.2	gneg
chr02	191600000	197100000	q32.3	gpos75
chr02	197100000	203500000	q33.1	gneg
chr02	203500000	205600000	q33.2	gpos50
chr02	205600000	209100000	q33.3	gneg
chr02	209100000	215100000	q34	gpos100
chr02	215100000	221300000	q35	gneg
chr02	221300000	224900000	q36.1	gpos75
chr02	224900000	225800000	q36.2	gneg
